Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
LITB	"[""LITB""]"	nPn18h9d8a	2026-05-23 04:00:00	LightInTheBox to Hold Extraordinary General Meeting	PR Newswire	17.18	NYSE	2026-05-23 04:00:00.113501	0.1022	0.0564	0.8414	0.0458	neutral	NO:sentiment_score
VFS	"[""VFS""]"	nPn9ZmC5da	2026-05-23 08:00:00	'Built for the Long Term': Why U.S. Partners Believe in VinFast's Global Service Strategy	PR Newswire	49.63	NASDAQ	2026-05-23 08:00:00.124969	0.2054	0.0217	0.7729	0.1837	positive	NO:sentiment_score
