Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
SES	"[""SES""]"	nACSF6lYFa	2026-05-10 07:00:01	SES INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that SES AI Corporation Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	236.25	2026-05-10 07:00:01	0.1289	0.369	0.502	-0.2401	negative	NO:sentiment_score
ALDX	"[""ALDX""]"	nACSgb9PWa	2026-05-10 07:00:01	ALDX SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Aldeyra Therapeutics, Inc. Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	55.6	2026-05-10 07:00:01	0.1099	0.3663	0.5237	-0.2564	negative	NO:sentiment_score
VITL	"[""VITL""]"	nACSLhdCJa	2026-05-10 07:00:01	VITL Investors Have Opportunity to Lead Vital Farms, Inc. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	36.68	2026-05-10 07:00:01	0.1897	0.0898	0.7205	0.0998	positive	YES
ATRA	"[""ATRA""]"	nACSBvpvRa	2026-05-10 07:00:01	ATRA Stockholders Have Opportunity to Lead Atara Biotherapeutics, Inc. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	4.86	2026-05-10 07:00:02	0.1928	0.0642	0.743	0.1286	positive	YES
GPK	"[""GPK""]"	nACSvfzRPa	2026-05-10 07:00:01	GPK SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Graphic Packaging Holding Company Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	291.17	2026-05-10 07:00:02	0.1797	0.3709	0.4495	-0.1912	negative	NO:sentiment_score
YOOV	"[""YOOV""]"	nACSqnjXma	2026-05-10 07:00:01	CIGL Stockholders Have Opportunity to Lead Concorde International Group, Ltd. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	5.91	2026-05-10 07:00:02	0.1697	0.0634	0.767	0.1063	positive	YES
BW	"[""BW""]"	nACS1vgMwa	2026-05-10 07:00:02	BW SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Babcock & Wilcox Enterprises, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	130.21	2026-05-10 07:00:02	0.1902	0.1846	0.6253	0.0056	neutral	NO:sentiment_score
GOSS	"[""GOSS""]"	nACSjF9mja	2026-05-10 07:00:03	GOSS INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Gossamer Bio, Inc. Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	204.1	2026-05-10 07:00:03	0.1553	0.2384	0.6064	-0.0831	negative	NO:sentiment_score
VITL	"[""VITL""]"	nNFC6Pr3zc	2026-05-10 08:10:23	VITL SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Vital Farms (VITL) Investors of Securities Class Action Deadline on May 26, 2026	Newsfile Corp	36.68	2026-05-10 08:10:23	0.1495	0.1551	0.6954	-0.0056	neutral	NO:sentiment_score
NUAI	"[""NUAI""]"	nACSkyJ7fa	2026-05-10 08:15:00	ROSEN, SKILLED INVESTOR COUNSEL, Encourages New Era Energy & Digital, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - NUAI	ACCESSWIRE	73.85	2026-05-10 08:15:00	0.1877	0.0534	0.7589	0.1343	positive	YES
SES	"[""SES""]"	nNFCbcRHrL	2026-05-10 08:36:16	SES SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds SES AI Corporation (SES) Investors of Securities Class Action Deadline on June 26, 2026	Newsfile Corp	236.25	2026-05-10 08:36:16	0.1236	0.1044	0.772	0.0192	neutral	NO:sentiment_score
GO	"[""GO""]"	nNFCbX6jPl	2026-05-10 08:42:16	GO SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Grocery Outlet (GO) Investors of Securities Class Action Deadline on May 15, 2026	Newsfile Corp	90.72	2026-05-10 08:42:16	0.0982	0.1029	0.7989	-0.0046	neutral	NO:sentiment_score
YOOV	"[""YOOV""]"	nNFCbT6yTg	2026-05-10 08:44:17	CIGL SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Concorde International (CIGL) Investors of Securities Class Action Deadline on May 20, 2026	Newsfile Corp	5.91	2026-05-10 08:44:17	0.0972	0.1155	0.7874	-0.0183	neutral	NO:sentiment_score
POET	"[""POET""]"	nNFC8jdh57	2026-05-10 08:57:16	POET SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds POET Technologies (POET) Investors of Securities Class Action Deadline on June 29, 2026	Newsfile Corp	90.52	2026-05-10 08:57:16	0.2087	0.0972	0.6942	0.1115	positive	YES
FSK	"[""FSK""]"	nACSMqQ2ta	2026-05-10 09:00:00	ROSEN, A LEADING NATIONAL FIRM, Encourages FS KKR Capital Corp. Investors to Secure Counsel Before Important Deadline in Securities Class Action - FSK	ACCESSWIRE	279.32	2026-05-10 09:00:00	0.2198	0.0397	0.7405	0.1801	positive	YES
ELWT	"[""ELWT""]"	nACSf8z3ba	2026-05-10 09:00:00	ROSEN, GLOBAL INVESTOR COUNSEL, Encourages Elauwit Connection, Inc. Investors to Inquire About Securities Class Action Investigation - ELWT	ACCESSWIRE	2.24	2026-05-10 09:00:00	0.1338	0.0429	0.8233	0.0909	positive	YES
IMM	"[""IMMP"", ""IMM""]"	nPn4qMQd1a	2026-05-10 09:00:01	Rosen Law Firm Encourages Immutep Ltd. Investors to Inquire About Securities Class Action Investigation - IMMP	PR Newswire		2026-05-10 09:00:01	0.105	0.0279	0.8671	0.077	positive	NO:Float
IMMP	"[""IMMP"", ""IMM""]"	nPn4qMQd1a	2026-05-10 09:00:01	Rosen Law Firm Encourages Immutep Ltd. Investors to Inquire About Securities Class Action Investigation - IMMP	PR Newswire	146.13	2026-05-10 09:00:01	0.105	0.0279	0.8671	0.077	positive	YES
FSK	"[""FSK""]"	nNFC8Xt0m8	2026-05-10 09:20:17	FSK SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds FS KKR Capital (FSK) Investors of Securities Class Action Deadline on July 3, 2026	Newsfile Corp	279.32	2026-05-10 09:20:17	0.1274	0.1414	0.7312	-0.014	neutral	NO:sentiment_score
CWH	"[""CWH""]"	nNFC177Cxz	2026-05-10 09:29:16	CWH DEADLINE TOMORROW: ROSEN, GLOBAL INVESTOR COUNSEL, Encourages Camping World Holdings, Inc. Investors to Secure Counsel Before Important May 11 Deadline in Securities Class Action - CWH	Newsfile Corp	58.96	2026-05-10 09:29:16	0.2956	0.0474	0.657	0.2481	positive	YES
ALDX	"[""ALDX""]"	nACSKltqKa	2026-05-10 09:45:00	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Aldeyra Therapeutics, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - ALDX	ACCESSWIRE	55.6	2026-05-10 09:45:00	0.3718	0.0842	0.544	0.2876	positive	YES
SRAD	"[""SRAD"", ""1M4""]"	nACSkHsQFa	2026-05-10 10:00:00	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sportradar Group AG - SRAD	ACCESSWIRE	185.52	2026-05-10 10:00:00	0.1027	0.0884	0.809	0.0143	neutral	NO:sentiment_score
1M4	"[""SRAD"", ""1M4""]"	nACSkHsQFa	2026-05-10 10:00:00	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sportradar Group AG - SRAD	ACCESSWIRE		2026-05-10 10:00:00	0.1027	0.0884	0.809	0.0143	neutral	NO:sentiment_score,Float
PHR	"[""PHR""]"	nACSRcBcHa	2026-05-10 10:00:00	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Phreesia, Inc. - PHR	ACCESSWIRE	46.13	2026-05-10 10:00:00	0.1215	0.0652	0.8133	0.0562	positive	YES
BRKM3	"[""BAK"", ""BRKM3""]"	nACSk9CgXa	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Braskem S.A. - BAK	ACCESSWIRE		2026-05-10 10:00:01	0.1035	0.1073	0.7892	-0.0038	neutral	NO:sentiment_score,Float
BAK	"[""BAK"", ""BRKM3""]"	nACSk9CgXa	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Braskem S.A. - BAK	ACCESSWIRE	172.53	2026-05-10 10:00:01	0.1035	0.1073	0.7892	-0.0038	neutral	NO:sentiment_score
JILL	"[""JILL""]"	nACSPpJjCa	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of J. Jill, Inc. - JILL	ACCESSWIRE	6.53	2026-05-10 10:00:01	0.0728	0.0517	0.8755	0.0211	neutral	NO:sentiment_score
BYRN	"[""BYRN""]"	nACSmS8Ska	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Byrna Technologies Inc. - BYRN	ACCESSWIRE	17.76	2026-05-10 10:00:01	0.0992	0.0909	0.8099	0.0083	neutral	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSXf25La	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Gaia, Inc. - GAIA	ACCESSWIRE	17.79	2026-05-10 10:00:01	0.0948	0.081	0.8242	0.0138	neutral	NO:sentiment_score
ORIC	"[""ORIC""]"	nACSq0nBLa	2026-05-10 10:00:01	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of ORIC Pharmaceuticals, Inc. - ORIC	ACCESSWIRE	58.22	2026-05-10 10:00:01	0.102	0.0937	0.8042	0.0083	neutral	NO:sentiment_score
BTGO	"[""BTGO""]"	nACS3QQ2ra	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of BitGo Holdings, Inc. - BTGO	ACCESSWIRE	65.1	2026-05-10 10:00:02	0.1231	0.1009	0.7761	0.0222	neutral	NO:sentiment_score
PICS	"[""PICS""]"	nACSWsjjxa	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of PicS N.V. - PICS	ACCESSWIRE	22.23	2026-05-10 10:00:02	0.106	0.1098	0.7842	-0.0037	neutral	NO:sentiment_score
NNOX	"[""NNOX""]"	nACShjkxxa	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Nano-X Imaging Ltd. - NNOX	ACCESSWIRE	69.02	2026-05-10 10:00:02	0.121	0.1201	0.7589	0.0009	neutral	NO:sentiment_score
VALN	"[""VALN"", ""VLS""]"	nACSGTrGQa	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Valneva SE - VALN	ACCESSWIRE	81.45	2026-05-10 10:00:02	0.0968	0.0941	0.809	0.0027	neutral	NO:sentiment_score
VLS	"[""VALN"", ""VLS""]"	nACSGTrGQa	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Valneva SE - VALN	ACCESSWIRE		2026-05-10 10:00:02	0.0968	0.0941	0.809	0.0027	neutral	NO:sentiment_score,Float
LCID	"[""LCID""]"	nACScYdB8a	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Lucid Group, Inc. - LCID	ACCESSWIRE	109.91	2026-05-10 10:00:02	0.1265	0.0986	0.7749	0.028	neutral	NO:sentiment_score
BZAI	"[""BZAI""]"	nACSnG9qHa	2026-05-10 10:00:02	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Blaize Holdings, Inc. - BZAI	ACCESSWIRE	83.57	2026-05-10 10:00:02	0.091	0.065	0.844	0.026	neutral	NO:sentiment_score
PEPG	"[""PEPG""]"	nACSwK5HXa	2026-05-10 10:00:03	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of PepGen Inc. - PEPG	ACCESSWIRE	60.93	2026-05-10 10:00:03	0.063	0.0566	0.8804	0.0064	neutral	NO:sentiment_score
ADMA	"[""ADMA""]"	nACSn1lrLa	2026-05-10 10:00:03	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of ADMA Biologics, Inc. - ADMA	ACCESSWIRE	224.61	2026-05-10 10:00:03	0.1088	0.1025	0.7888	0.0063	neutral	NO:sentiment_score
ERAS	"[""ERAS""]"	nACSfvcbxa	2026-05-10 10:00:03	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Erasca, Inc. - ERAS 	ACCESSWIRE	186.79	2026-05-10 10:00:03	0.0776	0.0599	0.8625	0.0177	neutral	NO:sentiment_score
M000	"[""EVTL"", ""M000""]"	nACSpbVGva	2026-05-10 10:00:03	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Vertical Aerospace Ltd. - EVTL	ACCESSWIRE		2026-05-10 10:00:03	0.1042	0.1003	0.7955	0.0039	neutral	NO:sentiment_score,Float
EVTL	"[""EVTL"", ""M000""]"	nACSpbVGva	2026-05-10 10:00:03	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Vertical Aerospace Ltd. - EVTL	ACCESSWIRE	121.04	2026-05-10 10:00:03	0.1042	0.1003	0.7955	0.0039	neutral	NO:sentiment_score
VERI	"[""VERI""]"	nACS3Bltba	2026-05-10 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Veritone, Inc. - VERI	ACCESSWIRE	81.54	2026-05-10 10:00:04	0.1094	0.1421	0.7484	-0.0327	neutral	NO:sentiment_score
YRD	"[""YRD""]"	nACSlc9M3a	2026-05-10 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Yiren Digital Ltd. - YRD	ACCESSWIRE	29.3007	2026-05-10 10:00:04	0.1239	0.1018	0.7743	0.0221	neutral	NO:sentiment_score
11V	"[""FVRR"", ""11V""]"	nACSwvWMpa	2026-05-10 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Fiverr International Ltd. - FVRR	ACCESSWIRE		2026-05-10 10:00:04	0.1562	0.1221	0.7217	0.034	neutral	NO:sentiment_score,Float
FVRR	"[""FVRR"", ""11V""]"	nACSwvWMpa	2026-05-10 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Fiverr International Ltd. - FVRR	ACCESSWIRE	29.94	2026-05-10 10:00:04	0.1562	0.1221	0.7217	0.034	neutral	NO:sentiment_score
REPL	"[""REPL""]"	nACSKGNFra	2026-05-10 10:00:04	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Replimune Group, Inc. - REPL	ACCESSWIRE	76.12	2026-05-10 10:00:04	0.1092	0.1126	0.7782	-0.0035	neutral	NO:sentiment_score
CMPX	"[""CMPX""]"	nACS3wQ48a	2026-05-10 10:00:05	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Compass Therapeutics, Inc. - CMPX	ACCESSWIRE	120.66	2026-05-10 10:00:05	0.1526	0.118	0.7294	0.0346	neutral	NO:sentiment_score
RPD	"[""RPD""]"	nACSfXvKva	2026-05-10 10:00:05	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Rapid7, Inc. - RPD	ACCESSWIRE	63.86	2026-05-10 10:00:05	0.121	0.1218	0.7572	-0.0007	neutral	NO:sentiment_score
DERM	"[""DERM""]"	nACSSZ5fDa	2026-05-10 10:00:05	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Journey Medical Corporation - DERM	ACCESSWIRE	13.52	2026-05-10 10:00:05	0.0979	0.0961	0.806	0.0017	neutral	NO:sentiment_score
GPK	"[""GPK""]"	nNFC80N9ZQ	2026-05-10 10:32:17	ROSEN, A LONGSTANDING LAW FIRM, Encourages Graphic Packaging Holding Company Investors to Secure Counsel Before Important Deadline in Securities Class Action - GPK	Newsfile Corp	291.17	2026-05-10 10:32:17	0.1778	0.0152	0.8071	0.1626	positive	YES
NNOX	"[""NNOX""]"	nACSMwJGda	2026-05-10 11:00:00	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Nano-X Imaging Ltd. (NNOX) and Encourages Shareholders to Learn More About the Investigation	ACCESSWIRE	69.02	2026-05-10 11:00:00	0.1611	0.0745	0.7644	0.0865	positive	YES
ALDX	"[""ALDX""]"	nACSngwWLa	2026-05-10 11:00:00	Pomerantz LLP Reminds Investors: Securities Lawsuit Has Been Filed Against Aldeyra Therapeutics, Inc.  – ALDX	ACCESSWIRE	55.6	2026-05-10 11:00:00	0.1143	0.3845	0.5012	-0.2702	negative	NO:sentiment_score
ARDT	"[""ARDT""]"	nACS8PYlka	2026-05-10 11:00:01	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Ardent Health, Inc. (ARDT) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	22.42	2026-05-10 11:00:01	0.196	0.0579	0.7461	0.138	positive	YES
FBRT	"[""FBRT""]"	nACSGrtTJa	2026-05-10 11:00:01	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Franklin BSP Realty Trust, Inc. (FBRT) and Encourages Investors to Learn More About the Investigation 	ACCESSWIRE	79.15	2026-05-10 11:00:01	0.2691	0.1126	0.6183	0.1565	positive	YES
RMAX	"[""RMAX""]"	nACS1R5CMa	2026-05-10 11:00:01	Bronstein, Gewirtz & Grossman, LLC Is Investigating RE/MAX Holdings, Inc. (RMAX) And Encourages Shareholders to Connect	ACCESSWIRE	15.32	2026-05-10 11:00:01	0.1452	0.161	0.6938	-0.0157	neutral	NO:sentiment_score
ASPI	"[""ASPI""]"	nACSXlGqva	2026-05-10 11:00:01	Bronstein, Gewirtz & Grossman, LLC Is Investigating ASP Isotopes Inc. (ASPI) And Encourages Investors to Connect	ACCESSWIRE	112.87	2026-05-10 11:00:01	0.1383	0.0647	0.7969	0.0736	positive	YES
ERAS	"[""ERAS""]"	nACSL1tXka	2026-05-10 11:00:01	Bronstein, Gewirtz & Grossman, LLC Is Investigating Erasca, Inc. (ERAS) And Encourages Stockholders to Connect	ACCESSWIRE	186.79	2026-05-10 11:00:01	0.1146	0.0421	0.8433	0.0725	positive	YES
GEMI	"[""GEMI""]"	nACSCYJbDa	2026-05-10 11:00:02	Class Action Litigation Now Underway by Pomerantz LLP Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	2026-05-10 11:00:02	0.1516	0.1184	0.73	0.0332	neutral	NO:sentiment_score
POET	"[""POET""]"	nACSJTDl1a	2026-05-10 11:00:02	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against POET Technologies Inc. (POET) And Encourages Shareholders to Reach Out	ACCESSWIRE	90.52	2026-05-10 11:00:02	0.2598	0.0729	0.6673	0.187	positive	YES
FCHL	"[""FCHL""]"	nACSZ60qDa	2026-05-10 11:00:02	Pomerantz LLP Calls Attention to Class Action Involving Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	0.35	2026-05-10 11:00:02	0.159	0.191	0.65	-0.032	neutral	NO:sentiment_score
CWH	"[""CWH""]"	nACSgmbCCa	2026-05-10 11:00:02	Pomerantz LLP Reminds Investors with Losses on their Investment in Camping World Holdings, Inc.  – CWH	ACCESSWIRE	58.96	2026-05-10 11:00:02	0.0561	0.8225	0.1215	-0.7664	negative	NO:sentiment_score
MNDY	"[""MNDY"", ""6B6""]"	nACShw5Kla	2026-05-10 11:00:02	Pomerantz LLP Notifies Investors of Class Action Filing Against monday.com Ltd.  – MNDY	ACCESSWIRE	41.34	2026-05-10 11:00:02	0.0806	0.2841	0.6353	-0.2036	negative	NO:sentiment_score
6B6	"[""MNDY"", ""6B6""]"	nACShw5Kla	2026-05-10 11:00:02	Pomerantz LLP Notifies Investors of Class Action Filing Against monday.com Ltd.  – MNDY	ACCESSWIRE		2026-05-10 11:00:02	0.0806	0.2841	0.6353	-0.2036	negative	NO:sentiment_score,Float
METC	"[""METC""]"	nACSVdmPwa	2026-05-10 11:00:03	Ramaco Resources, Inc. (METC) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	47.19	2026-05-10 11:00:03	0.1664	0.0404	0.7932	0.126	positive	YES
UHG	"[""UHG""]"	nACSfRLmBa	2026-05-10 11:00:03	UHG INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	11.21	2026-05-10 11:00:03	0.1251	0.302	0.5729	-0.1769	negative	NO:sentiment_score
LAKE	"[""LAKE""]"	nACSK9rhka	2026-05-10 11:00:03	Bronstein, Gewirtz & Grossman, LLC Is Investigating Lakeland Industries, Inc. (LAKE) And Encourages Investors to Connect	ACCESSWIRE	8.44	2026-05-10 11:00:04	0.1942	0.0358	0.7701	0.1584	positive	YES
NUAI	"[""NUAI""]"	nACSd0ZxVa	2026-05-10 11:00:04	Pomerantz LLP Informs Shareholders of Securities Class Action Against New Era Energy & Digital, Inc.  – NUAI	ACCESSWIRE	73.85	2026-05-10 11:00:04	0.125	0.1718	0.7032	-0.0469	neutral	NO:sentiment_score
DMRC	"[""DMRC""]"	nACS6zv3ta	2026-05-10 11:00:04	Bronstein, Gewirtz & Grossman, LLC Encourages Digimarc Corporation (DMRC) Stockholders to Inquire about Securities Investigation 	ACCESSWIRE	16.8	2026-05-10 11:00:04	0.1551	0.0177	0.8272	0.1373	positive	YES
VITL	"[""VITL""]"	nACSQBxgKa	2026-05-10 11:00:04	Pomerantz LLP Shares Class Action Details With Investors in Vital Farms, Inc.  – VITL	ACCESSWIRE	36.68	2026-05-10 11:00:04	0.1443	0.0445	0.8112	0.0998	positive	YES
FSK	"[""FSK""]"	nACSQTjVJa	2026-05-10 11:00:04	Pomerantz LLP Alerts Shareholders to Investor Suit Filed Against FS KKR Capital Corp.  – FSK	ACCESSWIRE	279.32	2026-05-10 11:00:04	0.1205	0.1315	0.748	-0.011	neutral	NO:sentiment_score
VTGN	"[""VTGN""]"	nACS22Xtca	2026-05-10 11:00:04	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Vistagen Therapeutics, Inc. (VTGN) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	33.78	2026-05-10 11:00:04	0.2205	0.0712	0.7082	0.1493	positive	YES
BW	"[""BW""]"	nACSBjWQRa	2026-05-10 11:00:04	Pomerantz LLP Pursues Class Action Lawsuit Against Babcock & Wilcox Enterprises, Inc.  – BW	ACCESSWIRE	130.21	2026-05-10 11:00:05	0.1468	0.2264	0.6268	-0.0796	negative	NO:sentiment_score
SES	"[""SES""]"	nACSww9JZa	2026-05-10 11:00:05	Pomerantz LLP Advises Shareholders of Class Action Involving SES AI Corporation  – SES	ACCESSWIRE	236.25	2026-05-10 11:00:05	0.154	0.1379	0.7081	0.0161	neutral	NO:sentiment_score
PMI	"[""PMI""]"	nACS5yw56a	2026-05-10 11:00:05	Picard Medical, Inc. (PMI) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	24.95	2026-05-10 11:00:05	0.1725	0.0262	0.8012	0.1463	positive	YES
IMMP	"[""IMMP"", ""IMM""]"	nACSRR1Bfa	2026-05-10 11:00:05	 IMMP SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Immutep Limited Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	146.13	2026-05-10 11:00:05	0.1668	0.3266	0.5066	-0.1598	negative	NO:sentiment_score
